,delivery_charge,gst,order_am_pm,order_date,order_no,order_status,order_time,order_total,packing_charge
1,0,5.96,PM,2019-05-19,#41356117094,Delivered,2019-06-05 09:18:00,149.0,10
2,0,,PM,2019-03-31,#37096133700,Delivered,2019-06-05 01:58:00,138.0,
3,0,6.45,PM,2019-05-20,#41418314131,Delivered,2019-06-05 02:35:00,129.0,10
4,0,,PM,2019-05-24,#41789356811,Delivered,2019-06-05 09:39:00,149.0,
5,0,4.74,PM,2019-03-29,#36946068426,Delivered,2019-06-05 08:17:00,111.5,7
6,0,,PM,2019-09-05,#40487698403,Delivered,2019-06-05 08:04:00,120.0,15
7,0,5.95,AM,2019-05-17,#41137853274,Delivered,2019-06-05 08:40:00,129.0,
8,0,10.4,PM,2019-05-26,#41959810929,Delivered,2019-06-05 09:00:00,198.0,10
9,0,,PM,2019-05-31,#42373671178,Delivered,2019-06-05 03:57:00,99.0,
10,50,11,PM,2019-03-21,#36263755890,Delivered,2019-06-05 10:45:00,220.0,
11,0,7.5,AM,2019-05-24,#41754132318,Delivered,2019-06-05 11:52:00,150.0,8
12,0,,AM,2019-05-28,#42063793755,Delivered,2019-06-05 01:53:00,110.0,7
13,0,,PM,2019-05-28,#42102775973,Delivered,2019-06-05 12:42:00,99.0,
14,0,,AM,2019-12-05,#40680134503,Delivered,2019-06-05 01:32:00,226.0,11.3
15,0,4.87,PM,2019-03-05,#39973265154,Delivered,2019-06-05 09:11:00,139.0,8
16,20,,PM,2018-07-10,#22005414295,Delivered,2019-06-05 10:06:00,113.0,10
17,0,,AM,2019-03-19,#36039401882,Delivered,2019-06-05 08:26:00,49.0,
18,10,,PM,2019-02-26,#34270704990,Delivered,2019-06-05 09:08:00,240.0,
19,0,7.8,PM,2019-03-30,#37007440259,Delivered,2019-06-05 01:20:00,149.0,7
20,10,,PM,2019-10-03,#35303555239,Delivered,2019-06-05 08:02:00,400.0,
21,0,24.95,AM,2019-03-30,#36960612785,Delivered,2019-06-05 12:20:00,499.0,
22,0,,PM,2019-02-22,#33896745090,Delivered,2019-06-05 01:15:00,83.0,
23,0,6.57,PM,2019-05-18,#41272043661,Delivered,2019-06-05 09:57:00,219.0,10
24,0,,PM,2019-04-05,#40040736281,Delivered,2019-06-05 03:55:00,160.0,10
25,0,,AM,2018-02-10,#21535610588,Delivered,2019-06-05 11:36:00,49.0,
26,0,7.56,PM,2019-04-05,#40032583961,Delivered,2019-06-05 01:39:00,216.0,16
27,10,13.18,PM,2019-01-03,#34523597764,Delivered,2019-06-05 07:23:00,310.0,4
28,10,,PM,2019-02-25,#34159729842,Delivered,2019-06-05 02:18:00,435.0,
29,40,7.65,AM,2019-03-29,#36873540426,Delivered,2019-06-05 12:09:00,180.0,5
30,0,8.72,PM,2019-05-14,#40903784760,Delivered,2019-06-05 03:39:00,249.0,7
31,0,4.8,AM,2019-03-31,#37071454612,Delivered,2019-06-05 07:07:00,128.0,
32,0,,PM,2019-05-19,#41330101829,Delivered,2019-06-05 02:05:00,99.0,
33,0,,PM,2018-03-10,#21627248714,Delivered,2019-06-05 01:04:00,138.0,
34,0,,PM,2019-03-25,#36572898783,Delivered,2019-06-05 12:38:00,117.0,
35,0,6.38,AM,2019-05-13,#40802203199,Delivered,2019-06-05 11:26:00,150.0,
36,0,5.46,PM,2019-02-05,#39864121943,Delivered,2019-06-05 02:52:00,156.0,8
37,0,,PM,2019-03-17,#35889518455,Delivered,2019-06-05 02:48:00,120.0,
38,0,,PM,2019-03-29,#36920955087,Delivered,2019-06-05 01:19:00,97.0,10
39,0,,PM,2019-03-21,#36261506135,Delivered,2019-06-05 10:08:00,65.0,
40,0,,PM,2019-03-15,#35735027690,Delivered,2019-06-05 07:53:00,99.0,
41,0,13.61,PM,2019-01-05,#39803023548,Delivered,2019-06-05 09:53:00,389.0,17
42,0,,PM,2018-12-29,#29182238365,Delivered,2019-06-05 11:40:00,138.0,
43,0,,AM,2019-09-05,#40427858210,Delivered,2019-06-05 03:27:00,180.0,10
44,0,,AM,2019-05-18,#41230794513,Delivered,2019-06-05 10:29:00,73.0,
45,40,6.04,PM,2019-08-02,#32724102179,Delivered,2019-06-05 11:31:00,141.9,
46,0,18.69,AM,2019-03-30,#36960255971,Delivered,2019-06-05 12:14:00,415.25,
47,0,,AM,2019-11-05,#40594802246,Delivered,2019-06-05 01:50:00,260.0,10
48,0,,PM,2019-05-22,#41593921343,Delivered,2019-06-05 03:22:00,99.0,
49,0,,PM,2019-03-25,#36603818500,Delivered,2019-06-05 09:13:00,109.0,
50,0,8.4,PM,2019-05-15,#41015331308,Delivered,2019-06-05 10:38:00,240.0,7
51,0,5.5,AM,2019-05-23,#41668163511,Delivered,2019-06-05 11:59:00,110.0,
52,0,9.73,PM,2019-04-05,#40064277430,Delivered,2019-06-05 10:27:00,229.0,
53,0,7.56,PM,2019-06-05,#40208522256,Delivered,2019-06-05 02:32:00,216.0,16
54,0,,PM,2019-03-18,#35995260235,Delivered,2019-06-05 08:11:00,99.0,
55,0,,PM,2019-03-17,#35912144351,Delivered,2019-06-05 09:05:00,65.0,
56,0,,PM,2019-03-21,#36261478115,Delivered,2019-06-05 10:07:00,65.0,
